"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"54",2002,"COTE SAINT JACQUES",72,0,4,0,72,72
"55",2002,"FRIO SUR IX",12055,106.870768039812,130,18.3711077915885,12036.6288922084,12073.3711077916
"56",2002,"FRIO SUR VII",3500,74.0398700491995,55,19.5673671583846,3480.43263284162,3519.56736715838
"57",2002,"FRIO SUR VIII",956,10.2913868685499,30,3.68265782318742,952.317342176813,959.682657823187
"58",2002,"UNION SUR",19,1.25830573921179,4,1.23311696519758,17.7668830348024,20.2331169651976
"59",2002,"UNZEN MARU",188334,789.271269648785,393,78.0329651995644,188255.9670348,188412.0329652
"60",2003,"BETANZOS",280698,1461.08469016561,272,173.63570273915,280524.364297261,280871.635702739
"61",2003,"BOSTON BEVERLEY",16,NA,1,NA,NA,NA
"62",2003,"FRIO SUR IX",210,12.2474487139159,6,9.79981992270027,200.2001800773,219.7998199227
"63",2003,"FRIO SUR VII",1195,33.5318391451051,29,12.2041199134195,1182.79588008658,1207.20411991342
"64",2003,"FRIO SUR VIII",3281,135.59406554951,50,37.5840668008374,3243.41593319916,3318.58406680084
"65",2003,"SAINT PIERRE",20925,1501.61282182414,31,528.597630522377,20396.4023694776,21453.5976305224
"66",2003,"UNZEN MARU",163608,1501.49972385185,312,166.608076582246,163441.391923418,163774.608076582
"67",2004,"BETANZOS",37973,607.435038660756,79,133.947429908081,37839.0525700919,38106.9474299081
"68",2004,"BOSTON BEVERLEY",2,NA,1,NA,NA,NA
"69",2004,"BOSTON BLEMHEIN",18,NA,1,NA,NA,NA
"70",2004,"CABO DE HORNOS",284224,2433.32668109598,180,355.477614094505,283868.522385905,284579.477614095
"71",2004,"FRIO SUR IX",86860,1952.73320322819,53,525.718266338015,86334.281733662,87385.718266338
"72",2004,"FRIO SUR VII",54273,967.419805801073,77,216.081558122921,54056.9184418771,54489.0815581229
"73",2004,"FRIO SUR VIII",1020,7.22998805481221,33,2.46677024309703,1017.5332297569,1022.4667702431
"74",2004,"FRIO SUR X",560,45.8257569495584,8,31.7550459050559,528.244954094944,591.755045905056
"75",2004,"OCEAN DAWN",360775,2427.46874355217,128,420.529776897282,360354.470223103,361195.529776897
"76",2004,"SAINT PIERRE",107188,2402.60376281205,84,513.795860417031,106674.204139583,107701.795860417
"77",2004,"UNZEN MARU",393085,1810.39606431462,391,179.445804622571,392905.554195377,393264.445804623
"78",2005,"BOSTON BLEMHEIN",2088,88.3040202935291,15,44.6871788475132,2043.31282115249,2132.68717884751
"79",2005,"CABO DE HORNOS",541325,2372.41909286818,334,254.428799132363,541070.571200868,541579.428799132
"80",2005,"COTE SAINT JACQUES",61,3.77491721763537,4,3.69935089559274,57.3006491044073,64.6993508955927
"81",2005,"FRIO SUR IX",45025,2583.46424399487,25,1012.69937471539,44012.3006252846,46037.6993747154
"82",2005,"FRIO SUR VII",20,NA,1,NA,NA,NA
"83",2005,"FRIO SUR VIII",60,0,2,0,60,60
"84",2005,"FRIO SUR X",925,30.0851617756051,19,13.5276899769899,911.47231002301,938.52768997699
"85",2005,"OCEAN DAWN",3168,89.3926597604502,22,37.3541286283161,3130.64587137168,3205.35412862832
"86",2005,"SAINT PIERRE",225661,1446.78848646905,290,166.515296898797,225494.484703101,225827.515296899
"87",2005,"UNION SUR",1400,NA,1,NA,NA,NA
"88",2005,"UNZEN MARU",85941,993.996908333973,203,136.736703533165,85804.2632964668,86077.7367035332
"89",2006,"BETANZOS",31306,466.37073792196,80,102.196116013483,31203.8038839865,31408.1961160135
"90",2006,"CABO DE HORNOS",317092,1462.44849999514,254,179.850568146236,316912.149431854,317271.850568146
"91",2006,"COTE SAINT JACQUES",7,2.3094010767585,3,2.61328531272007,4.38671468727993,9.61328531272007
"92",2006,"DIEGO RAMIREZ",27665,2095.2642545956,38,666.185378711367,26998.8146212886,28331.1853787114
"93",2006,"FRIO SUR IX",350,19.436506316151,10,12.0466500601066,337.953349939893,362.046650060107
"94",2006,"FRIO SUR VIII",63478,1146.0220165088,137,191.902560081022,63286.097439919,63669.902560081
"95",2006,"FRIO SUR X",156575,1102.17347778964,157,172.404350589654,156402.59564941,156747.40435059
"96",2006,"OCEAN DAWN",620113,1822.4556461724,353,190.115578698235,619922.884421302,620303.115578698
"97",2006,"SAINT PIERRE",1,NA,1,NA,NA,NA
"98",2006,"UNION SUR",16733,274.918521677548,71,63.9474036986964,16669.0525963013,16796.9474036987
"99",2006,"UNZEN MARU",83671,1766.43114511002,72,408.017279909727,83262.9827200903,84079.0172799097
"100",2007,"CABO DE HORNOS",104016,998.175432683758,180,145.820544366183,103870.179455634,104161.820544366
"101",2007,"DIEGO RAMIREZ",144904,1354.35034720863,126,236.479686993016,144667.520313007,145140.479686993
