"","añoLance","NOMBRE_BARCO","hook","hooksd","hookn","hooke","hookl","hookr"
"1",1997,"BETANZOS",3.17216312055851,1.1624403151467,376,0.117496473512961,3.05466664704555,3.28965959407147
"2",1997,"BOSTON BEVERLEY",3.8333333335,2.59272486458638,2,3.59326730531676,0.240066028183241,7.42660063881676
"3",1997,"BOSTON BLEMHEIN",3.54999999966667,0.202072594216369,3,0.228662464863006,3.32133753480366,3.77866246452967
"4",1997,"COTE SAINT JACQUES",2.208333333,1.94454364826301,2,2.69495047874257,-0.486617145742573,4.90328381174257
"5",1997,"FRIO SUR IX",3.074074074,0.632516529713129,9,0.413236539287997,2.660837534712,3.487310613288
"6",1997,"FRIO SUR VI",2.86904761908571,0.802183935455862,35,0.265759029646882,2.60328858943883,3.1348066487326
"7",1997,"FRIO SUR VII",2.7690217391087,0.558859063156916,92,0.11419746824892,2.65482427085978,2.88321920735762
"8",1997,"FRIO SUR VIII",3.0535714285,0.809668565937682,14,0.424122538386737,2.62944889011326,3.47769396688674
"9",1997,"UNZEN MARU",2.92316318639907,1.49329606887376,431,0.140979309057545,2.78218387734153,3.06414249545662
"10",1998,"BETANZOS",2.60032840723399,1.10718251225866,406,0.107697170117398,2.49263123711659,2.70802557735139
"11",1998,"BOSTON BEVERLEY",4.1416666667,1.30233053208398,10,0.807177994204208,3.33448867249579,4.94884466090421
"12",1998,"BOSTON BLEMHEIN",3.76470588235294,1.67659420768237,17,0.796987650117171,2.96771823223577,4.56169353247011
"13",1998,"COTE SAINT JACQUES",3.54561403510526,0.919085060833421,19,0.413263450539892,3.13235058456537,3.95887748564516
"14",1998,"FRIO SUR IX",2.94655555554,0.722436057936619,150,0.115611723532267,2.83094383200773,3.06216727907227
"15",1998,"FRIO SUR VI",2.33333333325,0.942809041582063,4,0.923935882899785,1.40939745035022,3.25726921614979
"16",1998,"FRIO SUR VII",2.65224358971154,0.752439605372979,104,0.144611579063506,2.50763201064803,2.79685516877504
"17",1998,"FRIO SUR VIII",2.93247126436207,0.782585946885261,58,0.201403094522509,2.73106816983956,3.13387435888458
"18",1998,"GUALAS",3,NA,1,NA,NA,NA
"19",1998,"JIN YANG 1",1.7083333335,0.0589255648631766,2,0.0816651656958415,1.62666816780416,1.78999849919584
"20",1998,"UNION SUR",2.02777777788889,1.11725730655725,9,0.72992802743881,1.29784975045008,2.7577058053277
"21",1998,"UNZEN MARU",3.54100241543116,1.49868311267475,276,0.17680859116504,3.36419382426612,3.7178110065962
"22",1999,"BETANZOS",2.68408845740777,1.23252992643427,309,0.137425183098042,2.54666327430972,2.82151364050581
"23",1999,"BOSTON BEVERLEY",3.96969696968182,1.34212021684163,22,0.560826038165902,3.40887093151592,4.53052300784772
"24",1999,"BOSTON BLEMHEIN",3.8166666666,0.805610288237118,15,0.407687565211421,3.40897910138858,4.22435423181142
"25",1999,"COTE SAINT JACQUES",3.67875000005,0.877098521405034,40,0.271810653204258,3.40693934684574,3.95056065325426
"26",1999,"FRIO SUR IX",2.94879518072289,0.795817245930918,83,0.171207344496875,2.77758783622602,3.12000252521977
"27",1999,"FRIO SUR VII",2.94776422759756,0.7011247195706,82,0.151752706049096,2.79601152154846,3.09951693364666
"28",1999,"FRIO SUR VIII",3.29393939390909,0.408192140582017,66,0.0984783496169248,3.19546104429217,3.39241774352602
"29",1999,"FRIO SUR X",3.56944444441667,0.349663137574751,12,0.197836909105951,3.37160753531072,3.76728135352262
"30",1999,"GUALAS",3,NA,1,NA,NA,NA
"31",1999,"UNZEN MARU",3.45211416490486,1.34219872004525,473,0.120957928609303,3.33115623629556,3.57307209351417
"32",2000,"BETANZOS",2.78993506492532,1.19524243718161,308,0.133483853965021,2.6564512109603,2.92341891889035
"33",2000,"BOSTON BEVERLEY",4.34047619057143,1.82616926349536,7,1.35282026362664,2.98765592694478,5.69329645419807
"34",2000,"BOSTON BLEMHEIN",3.76851851855556,1.00067492656076,9,0.653762272097116,3.11475624645844,4.42228079065267
"35",2000,"COTE SAINT JACQUES",4.41025641038462,0.485270946743735,13,0.263791444274768,4.14646496610985,4.67404785465938
"36",2000,"FRIO SUR IX",2.736231884,0.873868258216842,46,0.252531256603432,2.48370062739657,2.98876314060343
"37",2000,"FRIO SUR VII",2.86538461532692,0.621259865442668,104,0.119400108007223,2.7459845073197,2.98478472333415
"38",2000,"FRIO SUR VIII",3.07235772352439,0.72598364996395,82,0.157133218034164,2.91522450549023,3.22949094155855
"39",2000,"FRIO SUR X",2.7760416665625,1.02411603714033,16,0.501807637196232,2.27423402936627,3.27784930375873
"40",2000,"GUALAS",0.333333333,NA,1,NA,NA,NA
"41",2000,"JIN YANG 1",2.111111111,1.83585684925676,3,2.07742942042498,0.0336816905750204,4.18854053142498
"42",2000,"UNZEN MARU",2.81670644392363,1.05605863173016,419,0.101118148780338,2.71558829514329,2.91782459270397
"43",2001,"BETANZOS",2.76082887699465,1.2749170172809,374,0.129209429201409,2.63161944779324,2.89003830619606
"44",2001,"BOSTON BEVERLEY",3.28333333325,1.79138886710325,4,1.75552883091419,1.52780450233581,5.03886216416419
"45",2001,"COTE SAINT JACQUES",3.638888889,0.287066904093673,6,0.229697141959747,3.40919174704025,3.86858603095975
"46",2001,"FRIO SUR IX",3.16833333333077,0.767682312265944,130,0.131964753009727,3.03636858032104,3.3002980863405
"47",2001,"FRIO SUR VII",3.31602209944751,0.977876201866222,181,0.142459914911439,3.17356218453607,3.45848201435895
"48",2001,"FRIO SUR VIII",2.81933333332,1.04672858974295,25,0.410310067496916,2.40902326582308,3.22964340081692
