"","añoLance","NOMBRE_BARCO","f1","f2","cpue2","cpue2sd","cpue2n","cpue2e","cpue2l","cpue2r"
"49",2001,"FRIO SUR X",51.9047619047619,2.56349206342857,20.2476780190773,21.2319498366139,21,9.08088807941126,11.1667899396661,29.3285660984886
"50",2001,"UNZEN MARU",363.106,2.502133333344,145.118565490163,287.713102214297,500,25.2187019310045,119.899863559158,170.337267421167
"51",2002,"BETANZOS",355.511363636364,2.60885416667045,136.271075699906,495.181546525037,352,51.7298490525738,84.5412266473318,188.000924752479
"52",2002,"BOSTON BEVERLEY",21.3333333333333,1.5,14.2222222222222,20.0592371402408,3,22.6987465843474,-8.47652436212513,36.9209688065696
"53",2002,"BOSTON BLEMHEIN",38,1.5,25.3333333333333,NA,1,NA,NA,NA
"54",2002,"COTE SAINT JACQUES",18,2.1458333335,8.38834951391158,14.0795168660971,4,13.7976729886373,-5.4093234747257,22.1860225025489
"55",2002,"FRIO SUR IX",92.7307692307692,2.96794871793077,31.2440604753509,59.0752775138138,130,10.1550527888037,21.0890076865473,41.3991132641546
"56",2002,"FRIO SUR VII",63.6363636363636,2.40909090909091,26.4150943396226,37.5786560887179,55,9.9313432143788,16.4837511252438,36.3464375540014
"57",2002,"FRIO SUR VIII",31.8666666666667,2.79999999996667,11.3809523810879,8.81708609888881,30,3.15509576255636,8.22585661853151,14.5360481436442
"58",2002,"UNION SUR",4.75,3.37500000025,1.40740740730316,1.04132692069523,4,1.02048163034732,0.386925776955831,2.42788903765048
"59",2002,"UNZEN MARU",479.221374045802,2.42569974554198,197.560054547776,319.573696236195,393,31.5953260634863,165.96472848429,229.155380611263
"60",2003,"BETANZOS",1031.97794117647,2.94105392155147,350.887120298726,668.978418091471,272,79.5015775091526,271.385542789573,430.388697807879
"61",2003,"BOSTON BEVERLEY",16,0.666666667,23.999999988,NA,1,NA,NA,NA
"62",2003,"FRIO SUR IX",35,2.813888889,12.4383020725592,7.55315110001114,6,6.04366855155324,6.39463352100596,18.4819706241124
"63",2003,"FRIO SUR VII",41.2068965517241,1.9965517242069,20.6390328144857,19.7467861612956,29,7.18696475830748,13.4520680561782,27.8259975727932
"64",2003,"FRIO SUR VIII",65.62,2.87366666664,22.834937942446,95.3809326421867,50,26.4377598637691,-3.60282192132313,49.2726978062151
"65",2003,"SAINT PIERRE",675,3.34193548390323,201.978764476815,427.201795329367,31,150.383543270287,51.5952212065277,352.362307747102
"66",2003,"UNZEN MARU",524.384615384615,2.98947649570192,175.410181728654,677.641802994684,312,75.1918868949516,100.218294833703,250.602068623606
"67",2004,"BETANZOS",480.670886075949,2.22151898734177,216.37037037037,406.653321948347,79,89.6724157675491,126.697954602821,306.042786137919
"68",2004,"BOSTON BEVERLEY",2,0.416666667,4.79999999616,NA,1,NA,NA,NA
"69",2004,"BOSTON BLEMHEIN",18,0.75,24,NA,1,NA,NA,NA
"70",2004,"CABO DE HORNOS",1579.02222222222,3.18759259261111,495.365131002757,959.907584611871,180,140.230105797121,355.135025205636,635.595236799879
"71",2004,"FRIO SUR IX",1638.8679245283,3.0415094339434,538.833746901606,595.273258394403,53,160.260513255541,378.573233646065,699.094260157147
"72",2004,"FRIO SUR VII",704.844155844156,2.33051948049351,302.440791310141,340.911196222008,77,76.1454562119517,226.29533509819,378.586247522093
"73",2004,"FRIO SUR VIII",30.9090909090909,3.33282828290909,9.27413244408488,4.60942133019823,33,1.57266973182088,7.701462712264,10.8468021759058
"74",2004,"FRIO SUR X",70,2.71875,25.7471264367816,24.7285164536544,8,17.1356727618067,8.61145367497486,42.8827991985884
"75",2004,"OCEAN DAWN",2818.5546875,2.79544270830469,1008.26773488387,1622.93426766827,128,281.1538510287,727.11388385517,1289.42158591257
"76",2004,"SAINT PIERRE",1276.04761904762,2.47638888884524,515.285634173012,2130.11577593689,84,455.524412649897,59.7612215231151,970.810046822909
"77",2004,"UNZEN MARU",1005.33248081841,2.56815856778005,391.460439176634,910.22017952319,391,90.2206957459745,301.23974343066,481.681134922608
"78",2005,"BOSTON BLEMHEIN",139.2,4.48888888886667,31.0099009902525,25.1149293214265,15,12.7096743115272,18.3002266787253,43.7195753017797
"79",2005,"CABO DE HORNOS",1620.73353293413,2.70304391219162,599.595709719731,926.26109047797,334,99.3363683683847,500.259341351347,698.932078088116
"80",2005,"COTE SAINT JACQUES",15.25,1.9166666665,7.95652173982231,5.75753131138713,4,5.64227700509022,2.31424473473209,13.5987987449125
"81",2005,"FRIO SUR IX",1801,2.85666666664,630.45507585186,865.621741869316,25,339.317487659737,291.137588192123,969.772563511597
"82",2005,"FRIO SUR VII",20,2.5,8,NA,1,NA,NA,NA
"83",2005,"FRIO SUR VIII",30,3.4583333335,8.67469879476267,0.147827201036056,2,0.204874283258779,8.46982451150389,8.87957307802144
"84",2005,"FRIO SUR X",48.6842105263158,2.096491228,23.221757322953,24.157014071024,19,10.8621186603549,12.3596386625982,34.0838759833079
"85",2005,"OCEAN DAWN",144,2.89772727272727,49.6941176470588,30.1449013743851,22,12.5965210839925,37.0975965630663,62.2906387310514
"86",2005,"SAINT PIERRE",778.141379310345,2.75229885058276,282.724159531435,1127.78955118554,290,129.800737088626,152.923422442809,412.524896620061
"87",2005,"UNION SUR",1400,7.5,186.666666666667,NA,1,NA,NA,NA
"88",2005,"UNZEN MARU",423.354679802956,2.82389162560099,149.918883559441,450.604477265007,203,61.9862801402199,87.9326034192215,211.905163699661
"89",2006,"BETANZOS",391.325,2.9039583333375,134.755721357149,287.518444274251,80,63.0040993094731,71.7516220476762,197.759820666622
