"","añoLance","NOMBRE_BARCO","hook","hookn"
"120",2009,"OCEAN DAWN",2.25476190477473,546
"121",2009,"UNION SUR",2.49537037033333,18
"122",2009,"UNZEN MARU",2.18419405319718,213
"123",2010,"CABO DE HORNOS",2.73408071747534,223
"124",2010,"DIEGO RAMIREZ",2.35037243948603,179
"125",2010,"FRIO SUR IX",4.411827957,31
"126",2010,"FRIO SUR X",3.29629629627778,18
"127",2010,"OCEAN DAWN",2.68947368422149,456
"128",2010,"UNION SUR",2.70138888908333,12
"129",2010,"UNZEN MARU",2.64002306805536,289
"130",2011,"CABO DE HORNOS",2.8609496124186,172
"131",2011,"DIEGO RAMIREZ",2.6758620689569,116
"132",2011,"FRIO SUR IX",3.89430894312195,41
"133",2011,"FRIO SUR VIII",4.09068627447059,34
"134",2011,"FRIO SUR X",3.73737373739394,33
"135",2011,"UNION SUR",2.36519607838235,34
"136",2011,"UNZEN MARU",2.88924191749833,299
"137",2012,"CABO DE HORNOS",3.36535580524719,89
"138",2012,"DIEGO RAMIREZ",2.82165109030841,107
"139",2012,"FRIO SUR IX",3.6041666668125,16
"140",2012,"FRIO SUR VIII",4.67682926834146,41
"141",2012,"FRIO SUR X",1.972222222,3
"142",2012,"UNION SUR",3.02699530515493,71
"143",2012,"UNZEN MARU",2.96900826445455,242
"144",2013,"CABO DE HORNOS",3.48333333326471,34
"145",2013,"DIEGO RAMIREZ",1.9924242425,22
"146",2013,"FRIO SUR IX",3.44318181818182,22
"147",2013,"UNION SUR",2.81544117645588,68
"148",2013,"UNZEN MARU",2.9533045977069,116
"149",2014,"CABO DE HORNOS",4.11969696975,44
"150",2014,"DIEGO RAMIREZ",3.32547169811321,53
"151",2014,"FRIO SUR VIII",2.590277778,12
"152",2014,"FRIO SUR X",1.66666666673333,15
"153",2014,"UNION SUR",2.481249999975,40
"154",2014,"UNZEN MARU",3.13235294116176,204
"155",2015,"CABO DE HORNOS",3.74342105267105,76
"156",2015,"DIEGO RAMIREZ",2.84717514124294,177
"157",2015,"FRIO SUR IX",3.9016666667,20
"158",2015,"UNION SUR",3.98344748856849,146
"159",2015,"UNZEN MARU",3.29756097563902,205
"160",2016,"CABO DE HORNOS",3.55681818179545,132
"161",2016,"DIEGO RAMIREZ",2.46685823749425,87
"162",2016,"FRIO SUR IX",2.19444444466667,3
"163",2016,"FRIO SUR VIII",1.083333333,1
"164",2016,"FRIO SUR X",2.84523809528571,7
"165",2016,"UNION SUR",3.71073573576126,222
"166",2016,"UNZEN MARU",3.46951219510976,328
"167",2017,"CABO DE HORNOS",4.23672316383051,59
"168",2017,"DIEGO RAMIREZ",3.44708737867961,103
"169",2017,"FRIO SUR IX",2.48484848481818,11
"170",2017,"FRIO SUR VIII",3.486111111,6
"171",2017,"FRIO SUR X",1.93390804596552,29
"172",2017,"UNION SUR",3.42373737372727,33
"173",2017,"UNZEN MARU",3.16484942883801,321
"174",2018,"CABO DE HORNOS",4.30980392161765,34
"175",2018,"DIEGO RAMIREZ",4.57490421454023,87
"176",2018,"FRIO SUR IX",3.22727272718182,11
"177",2018,"FRIO SUR X",3.111111111,3
"178",2018,"UNION SUR",3.26789215688235,136
"179",2018,"UNZEN MARU",2.98924731182796,93
"180",2019,"ANTARTIC ENDEAVOUR",10.91666667,1
"181",2019,"CABO DE HORNOS",4.39040404036364,33
"182",2019,"DIEGO RAMIREZ",3.4166666665,2
"183",2019,"FRIO SUR IX",4.41666666675,4
"184",2019,"FRIO SUR VIII",3.375,2
"185",2019,"FRIO SUR X",3.333333333,1
"186",2019,"UNION SUR",3.87916666664744,156
"187",2019,"UNZEN MARU",4.16891891890811,185
"188",2020,"CABO DE HORNOS",6.07803030263636,22
"189",2020,"FRIO SUR X",3.79166666675,4
"190",2020,"UNION SUR",3.94420289856522,46
"191",2020,"UNZEN MARU",4.39699074074306,144
"192",2021,"CABO DE HORNOS",6.5133333332,5
"193",2021,"FRIO SUR IX",4,1
"194",2021,"UNION SUR",4.99999999993333,15
"195",2021,"UNZEN MARU",3.41666666666667,3
