Year,Catch,CPUE
2002,526.16,0.92646218
2003,173.08,0.940370884
2004,270.57,0.805411929
2005,273.96,0.822790802
2006,211.78,0.90341803
2007,214.03,0.860333531
2008,113.89,0.725641126
2009,154.11,0.611418999
2010,86.8,0.613234798
2011,102.98,0.651452926
2012,530.9,0.874908376
2013,96,0.65835179
