"","añoLance","NOMBRE_BARCO","hook","hooksd","hookn","hooke","hookl","hookr"
"1",1997,"BETANZOS",3.21428571428571,1.23214764962437,7,0.91277097994812,2.30151473433759,4.12705669423383
"2",1997,"BOSTON BEVERLEY",4.833333333,NA,1,NA,NA,NA
"3",1997,"COTE SAINT JACQUES",4.97916666670833,0.821014013057681,24,0.328467980144996,4.65069868656334,5.30763464685333
"4",1997,"FRIO SUR VI",2.54761904764286,0.894973072712437,14,0.468806950590931,2.07881209705193,3.01642599823379
"5",1997,"UNZEN MARU",2.57684294871635,1.3014450950411,208,0.176865153152524,2.39997779556382,2.75370810186887
"6",1998,"BETANZOS",2.8683333333,0.756882629721136,50,0.209793306222873,2.65854002707713,3.07812663952287
"7",1998,"BOSTON BEVERLEY",3.94007936504762,1.30066201365218,42,0.393357923337976,3.54672144170964,4.3334372883856
"8",1998,"BOSTON BLEMHEIN",3.38435897438462,1.09965689167388,130,0.189031253926971,3.19532772045764,3.57339022831159
"9",1998,"COTE SAINT JACQUES",3.42404921697987,1.13605823479945,149,0.18241290128372,3.24163631569615,3.60646211826359
"10",1999,"BETANZOS",2.81286008232099,1.13852979104963,162,0.175321421283524,2.63753866103746,2.98818150360451
"11",1999,"BOSTON BEVERLEY",4.01031746028571,1.2698344108039,210,0.171745566697777,3.83857189358794,4.18206302698349
"12",1999,"BOSTON BLEMHEIN",3.69170471843379,1.14986633802662,219,0.15229070386567,3.53941401456812,3.84399542229946
"13",1999,"COTE SAINT JACQUES",3.79603729604196,1.08869873868206,286,0.126174849162288,3.66986244687967,3.92221214520425
"14",1999,"FRIO SUR IX",2.8,1.05258562965393,15,0.532672036089783,2.26732796391022,3.33267203608978
"15",1999,"FRIO SUR VII",2.63888888883333,1.1324342838541,6,0.906119496010035,1.7327693928233,3.54500838484337
"16",1999,"UNZEN MARU",3.18157181570732,1.31623395570254,123,0.232610130890852,2.94896168481647,3.41418194659817
"17",2000,"BETANZOS",3.15585858584848,1.02579833089512,165,0.156519375701695,2.99933921014679,3.31237796155018
"18",2000,"BOSTON BEVERLEY",4.04185606059091,1.09280999263759,88,0.228323920222777,3.81353214036813,4.27017998081369
"19",2000,"BOSTON BLEMHEIN",3.71388888888889,0.634949753415283,72,0.146663215254688,3.5672256736342,3.86055210414358
"20",2000,"COTE SAINT JACQUES",4.08625730994737,0.866879110907466,57,0.225044913354819,3.86121239659255,4.31130222330219
"21",2000,"FRIO SUR IX",1.80555555533333,0.542200591383204,3,0.613546454216897,1.19200910111644,2.41910200955023
"22",2000,"FRIO SUR VII",2.88043478263043,0.958176665791525,46,0.276894778114687,2.60354000451575,3.15732956074512
"23",2000,"FRIO SUR VIII",2.8215811965641,0.789282049838782,78,0.175159225294012,2.64642197127009,2.99674042185811
"24",2000,"GUALAS",0.7,NA,1,NA,NA,NA
"25",2000,"JIN YANG 1",1.70833333325,1.70171482147829,4,1.66764988102773,0.0406834522222721,3.37598321427773
"26",2000,"UNZEN MARU",2.94341507720981,1.14212600655001,367,0.116850097621324,2.82656497958849,3.06026517483113
"27",2001,"BETANZOS",2.830666666696,1.06429287402107,250,0.131928687247081,2.69873797944892,2.96259535394308
"28",2001,"BOSTON BEVERLEY",3.58384615384615,1.30214822910736,65,0.316556938671633,3.26728921517452,3.90040309251779
"29",2001,"BOSTON BLEMHEIN",3.80072463769565,0.906186345940172,23,0.370340908076324,3.43038372961933,4.17106554577198
"30",2001,"COTE SAINT JACQUES",3.72790262179775,0.925616690680036,89,0.192302205381508,3.53560041641624,3.92020482717926
"31",2001,"FRIO SUR IX",2.87421227197015,0.77040014944416,201,0.106504123027765,2.76770814894238,2.98071639499791
"32",2001,"FRIO SUR VII",3.08943661970423,1.05254846752597,213,0.141351490578494,2.94808512912573,3.23078811028272
"33",2001,"FRIO SUR VIII",3.33801169591228,0.589412106331021,114,0.108196874949466,3.22981482096281,3.44620857086175
"34",2001,"FRIO SUR X",2.92291666666667,0.6022063399527,24,0.240928287421176,2.68198837924549,3.16384495408784
"35",2001,"UNZEN MARU",2.50523114357178,1.1503565227355,411,0.111214045653301,2.39401709791847,2.61644518922508
"36",2002,"BETANZOS",2.64599236641985,1.14715106562898,262,0.138905057392435,2.50708730902741,2.78489742381228
"37",2002,"BOSTON BEVERLEY",3.75,NA,1,NA,NA,NA
"38",2002,"BOSTON BLEMHEIN",1.5,NA,1,NA,NA,NA
"39",2002,"COTE SAINT JACQUES",2.36111111133333,2.28876078403714,3,2.58992905192942,-0.228817940596086,4.95104016326275
"40",2002,"FRIO SUR IX",2.85483870967204,0.853975267596695,186,0.122726093944576,2.73211261572747,2.97756480361662
"41",2002,"FRIO SUR VII",1.6875,1.13498653923151,24,0.454080844058554,1.23341915594145,2.14158084405855
"42",2002,"FRIO SUR VIII",1.62851562500781,1.13829997172778,128,0.197196785509333,1.43131883949848,1.82571241051715
"43",2002,"UNION SUR",0.833333333,NA,1,NA,NA,NA
"44",2002,"UNZEN MARU",2.48802816900845,0.924016855480619,355,0.0961200101474275,2.39190815886102,2.58414817915588
"45",2003,"BETANZOS",3.30864197532099,1.29875215129675,162,0.199993952596059,3.10864802272493,3.50863592791705
"46",2003,"BOSTON BEVERLEY",0.666666667,NA,1,NA,NA,NA
"47",2003,"BOSTON BLEMHEIN",3.739583333375,1.26179946777371,8,0.874366353974983,2.86521697940002,4.61394968734998
"48",2003,"FRIO SUR IX",3.2516666667,0.923140439843229,10,0.572157858734281,2.67950880796572,3.82382452543428
"49",2003,"FRIO SUR VII",2.15584192446392,0.990446381652413,97,0.197102981454634,1.95873894300928,2.35294490591855
"50",2003,"FRIO SUR VIII",3.07824858752542,0.697362671593198,59,0.177942948272342,2.90030563925308,3.25619153579777
"51",2003,"SAINT PIERRE",2.83981481477778,1.47464561923475,18,0.681239001085981,2.1585758136918,3.52105381586376
"52",2003,"UNZEN MARU",2.94377618191203,1.14693016540835,557,0.0952483516733075,2.84852783023872,3.03902453358534
"53",2004,"BETANZOS",2.14215686282353,1.27058218353526,17,0.603985331749613,1.53817153107392,2.74614219457314
"54",2004,"BOSTON BEVERLEY",3.57306763286232,1.28135661972162,138,0.21378565695692,3.3592819759054,3.78685328981924
"55",2004,"BOSTON BLEMHEIN",2.79642857142857,1.32596003871745,14,0.694567581203968,2.1018609902246,3.49099615263254
"56",2004,"CABO DE HORNOS",2.70599721061925,1.53436325713293,239,0.194525853992184,2.51147135662706,2.90052306461143
"57",2004,"COTE SAINT JACQUES",2.8333333332,2.70673029483658,5,2.37251011468576,0.460823218514243,5.20584344788576
"58",2004,"FRIO SUR IX",2.58791208789011,0.803799103999401,91,0.165148606148518,2.42276348174159,2.75306069403863
"59",2004,"FRIO SUR VII",1.94861111107576,0.871923384716679,132,0.148743998148653,1.7998671129271,2.09735510922441
"60",2004,"FRIO SUR VIII",2.54365079364286,0.874053513569232,42,0.264339137589204,2.27931165605365,2.80798993123206
"61",2004,"OCEAN DAWN",2.71360544216837,1.0896204073676,196,0.152544053947169,2.5610613882212,2.86614949611554
"62",2004,"SAINT PIERRE",2.65204081630612,1.11194890060016,147,0.179752216134404,2.47228860017172,2.83179303244053
"63",2004,"UNZEN MARU",2.56251504212274,0.897921990622306,277,0.105741828084416,2.45677321403833,2.66825687020716
"64",2005,"BOSTON BEVERLEY",3.16666666677778,1.66249477869063,9,1.08614329690651,2.08052336987127,4.25280996368429
"65",2005,"BOSTON BLEMHEIN",3.00884773662963,1.20085931735079,81,0.261515668056323,2.74733206857331,3.27036340468595
"66",2005,"CABO DE HORNOS",2.84144295304027,1.32786633344081,298,0.15076284315362,2.69068010988665,2.99220579619389
"67",2005,"COTE SAINT JACQUES",2.645833333375,1.52494687214864,16,0.747210236937086,1.89862309643791,3.39304357031209
"68",2005,"FRIO SUR IX",2.45384615381538,0.849840514231225,65,0.206599299166256,2.24724685464913,2.66044545298164
"69",2005,"FRIO SUR VIII",2.39583333325,0.958827277265058,12,0.542497634198119,1.85333569905188,2.93833096744812
"70",2005,"OCEAN DAWN",3.13034188033333,1.08741237919613,78,0.24132097005629,2.88902091027704,3.37166285038962
"71",2005,"SAINT PIERRE",2.88625730992982,1.27865887720229,171,0.191648195281262,2.69460911464856,3.07790550521109
"72",2005,"UNZEN MARU",2.80169082125797,1.08502084180442,345,0.114492390715143,2.68719843054283,2.91618321197311
"73",2006,"BETANZOS",1.43749999975,0.356000155918349,4,0.348873742045304,1.0886262577047,1.7863737417953
"74",2006,"CABO DE HORNOS",3.01843853819269,1.15182407591596,301,0.130122079539159,2.88831645865353,3.14856061773185
"75",2006,"COTE SAINT JACQUES",0.802380952428571,0.400858866274527,7,0.296954947162247,0.505426005266324,1.09933589959082
"76",2006,"DIEGO RAMIREZ",2.85921985814894,1.32373475356144,94,0.267599399957819,2.59162045819112,3.12681925810676
"77",2006,"FRIO SUR IX",2.93877192984211,0.948560069914766,95,0.19074410605533,2.74802782378677,3.12951603589744
"78",2006,"FRIO SUR VIII",3.39326424869948,0.756301150593592,193,0.106699945506734,3.28656430319275,3.49996419420622
"79",2006,"FRIO SUR X",2.72658730157143,0.981712758631358,168,0.148449208171037,2.57813809340039,2.87503650974247
"80",2006,"OCEAN DAWN",2.78610301261808,0.967172990211131,343,0.102354087460158,2.68374892515792,2.88845710007823
"81",2006,"SAINT PIERRE",1.4166666665,1.17851130221328,2,1.6333033207767,-0.216636654276705,3.0499699872767
"82",2006,"UNION SUR",3.12509652511969,1.68742714179729,259,0.205505400536211,2.91959112458348,3.3306019256559
"83",2006,"UNZEN MARU",3.36393596986441,1.65587331269397,177,0.243943114684666,3.11999285517974,3.60787908454907
"84",2007,"CABO DE HORNOS",2.78138747884772,1.21234223250668,197,0.1692934721136,2.61209400673412,2.95068095096132
"85",2007,"DIEGO RAMIREZ",3.05689655172414,1.74829394958617,116,0.318151189267083,2.73874536245705,3.37504774099122
"86",2007,"FRIO SUR IX",3.51128205131282,1.1191697891318,195,0.157082123510359,3.35419992780246,3.66836417482318
"87",2007,"FRIO SUR VIII",3.45848484848182,0.785734186199787,220,0.103827500642891,3.35465734783893,3.56231234912471
