"","añoLance","hook","hooksd","hookn","hooke","hookl","hookr"
"1",1997,2.82867454068504,1.42809317018166,254,0.175625581361522,2.65304895932352,3.00430012204656
"2",1998,3.39366576818598,1.12817034514435,371,0.114798394935594,3.27886737325039,3.50846416312158
"3",1999,3.56627489389422,1.24817747699374,1021,0.0765616988515706,3.48971319504265,3.64283659274579
"4",2000,3.20372682557548,1.12342748528355,881,0.0741831348216402,3.12954369075384,3.27790996039712
"5",2001,2.93231414869496,1.08370918902536,1390,0.0569709480732661,2.8753432006217,2.98928509676823
"6",2002,2.46578217134964,1.08573882153708,961,0.068645451188053,2.39713672016158,2.53442762253769
"7",2003,2.93929093566996,1.18319346808096,912,0.0767903125579786,2.86250062311198,3.01608124822793
"8",2004,2.66612737544684,1.20343861830654,1298,0.0654688464302614,2.60065852901658,2.7315962218771
"9",2005,2.84079069767721,1.20122852707048,1075,0.0718074486412617,2.76898324903595,2.91259814631847
"10",2006,3.00920064921424,1.25654009082203,1643,0.0607583062966778,2.94844234291756,3.06995895551092
"11",2007,2.94575357535248,1.38518068657758,1515,0.0697506408590282,2.87600293449345,3.0155042162115
"12",2008,2.82648437499297,1.29913096250424,1280,0.0711698482372445,2.75531452675572,2.89765422323021
"13",2009,2.45857472712028,1.15750390134527,1588,0.0569305402921619,2.40164418682811,2.51550526741244
"14",2010,2.87956288343252,1.12875339239401,1304,0.0612644252980372,2.81829845813448,2.94082730873055
"15",2011,3.08967100230528,1.31949460867989,1307,0.0715348905989224,3.01813611170636,3.1612058929042
"16",2012,3.11636159280347,1.29355674100864,1038,0.0786927817685354,3.03766881103493,3.195054374572
"17",2013,2.82771084335944,1.30639652426985,498,0.11473830659525,2.71297253676419,2.94244914995469
"18",2014,2.949189955452,1.3686537361602,823,0.093506491233867,2.85568346421814,3.04269644668587
"19",2015,3.13253290644717,1.44546878117599,937,0.0925522565514372,3.03998064989573,3.22508516299861
"20",2016,3.27358855374884,1.4423525568426,1724,0.0680849133401974,3.20550364040864,3.34167346708904
"21",2017,3.19478955658677,1.4691515251194,1481,0.074823350598496,3.11996620598827,3.26961290718526
"22",2018,3.4500728711118,1.33231803591117,1601,0.0652619929712975,3.38481087814051,3.5153348640831
"23",2019,3.8311709913503,1.51784617582361,1002,0.0939814174840877,3.73718957386621,3.92515240883439
"24",2020,4.25658983450355,1.80532029934796,564,0.1489919500948,4.10759788440875,4.40558178459835
"25",2021,4.95475206607025,2.09186312641775,242,0.263556464265311,4.69119560180494,5.21830853033556
