"","añoLance","NOMBRE_BARCO","hook","hookn"
"117",2011,"DIEGO RAMIREZ",2.73076923078322,143
"118",2011,"FRIO SUR IX",3.40780141847234,235
"119",2011,"FRIO SUR VIII",4.36821705427907,86
"120",2011,"FRIO SUR X",2.86857379768159,201
"121",2011,"UNION SUR",2.90405405403604,111
"122",2011,"UNZEN MARU",2.98722741434268,321
"123",2012,"CABO DE HORNOS",3.47697368421053,76
"124",2012,"DIEGO RAMIREZ",2.87352941172941,85
"125",2012,"FRIO SUR IX",3.3316885965,152
"126",2012,"FRIO SUR VIII",4.30799549551351,148
"127",2012,"FRIO SUR X",2.76958333334167,120
"128",2012,"UNION SUR",2.66301824211443,201
"129",2012,"UNZEN MARU",2.79166666665234,256
"130",2013,"CABO DE HORNOS",2.98194444441667,24
"131",2013,"DIEGO RAMIREZ",2.2362318841087,46
"132",2013,"FRIO SUR IX",3.31361655771895,153
"133",2013,"UNION SUR",2.49656862743382,136
"134",2013,"UNZEN MARU",2.78597122299281,139
"135",2014,"CABO DE HORNOS",4.09888888891667,60
"136",2014,"DIEGO RAMIREZ",3.376344086,62
"137",2014,"FRIO SUR IX",2.84803921558824,17
"138",2014,"FRIO SUR VIII",2.76864197531111,135
"139",2014,"FRIO SUR X",2.09774774771171,111
"140",2014,"UNION SUR",2.69921875000781,128
"141",2014,"UNZEN MARU",3.13349462368065,310
"142",2015,"CABO DE HORNOS",3.67857142858333,84
"143",2015,"DIEGO RAMIREZ",2.85388349513592,206
"144",2015,"FRIO SUR IX",3.04398148147222,144
"145",2015,"FRIO SUR VIII",2.38690476185714,14
"146",2015,"UNION SUR",2.9216049382963,216
"147",2015,"UNZEN MARU",3.42661782663736,273
"148",2016,"CABO DE HORNOS",3.62669220944828,261
"149",2016,"DIEGO RAMIREZ",3.19180555554583,240
"150",2016,"FRIO SUR IX",2.82030456853807,197
"151",2016,"FRIO SUR VIII",3.833333333,1
"152",2016,"FRIO SUR X",2.61537753220994,181
"153",2016,"UNION SUR",3.46000837520854,398
"154",2016,"UNZEN MARU",3.41068759342601,446
"155",2017,"CABO DE HORNOS",4.06095679012963,108
"156",2017,"DIEGO RAMIREZ",3.44085545723009,113
"157",2017,"FRIO SUR IX",3.37182539684524,84
"158",2017,"FRIO SUR VIII",3.11197916665625,64
"159",2017,"FRIO SUR X",2.62347931873723,137
"160",2017,"UNION SUR",3.15340831626176,489
"161",2017,"UNZEN MARU",3.12808641972016,486
"162",2018,"CABO DE HORNOS",3.8851648351978,91
"163",2018,"DIEGO RAMIREZ",4.08058252420388,103
"164",2018,"FRIO SUR IX",3.42674532935988,339
"165",2018,"FRIO SUR VIII",3.00620915035294,51
"166",2018,"FRIO SUR X",3.20253772290947,243
"167",2018,"UNION SUR",3.36250812216569,513
"168",2018,"UNZEN MARU",3.56915708810345,261
