"","añoLance","NOMBRE_BARCO","catch","catchsd","catchn","catche","catchl","catchr"
"26",2000,"UNZEN MARU",296313,2002.36833101615,367,204.860876655678,296108.139123344,296517.860876656
"27",2001,"BETANZOS",244343,1621.12341235587,250,200.952847546158,244142.047152454,244543.952847546
"28",2001,"BOSTON BEVERLEY",9392,222.132007702973,65,54.0010935526443,9337.99890644736,9446.00109355264
"29",2001,"BOSTON BLEMHEIN",5916,331.724825244953,23,135.569547657681,5780.43045234232,6051.56954765768
"30",2001,"COTE SAINT JACQUES",8957,158.810868587808,89,32.9938737875948,8924.00612621241,8989.99387378759
"31",2001,"FRIO SUR IX",61770,639.623128309676,201,88.424827536765,61681.5751724632,61858.4248275368
"32",2001,"FRIO SUR VII",51035,457.656773220484,213,61.4607964040986,50973.5392035959,51096.4607964041
"33",2001,"FRIO SUR VIII",103300,1997.81086332366,114,366.733037597837,102933.266962402,103666.733037598
"34",2001,"FRIO SUR X",18890,1788.5662928888,24,715.562399955446,18174.4376000446,19605.5623999554
"35",2001,"UNZEN MARU",356267,1795.16739356574,411,173.553002497507,356093.446997502,356440.553002498
"36",2002,"BETANZOS",332088,2301.54719863209,262,278.687398108373,331809.312601892,332366.687398108
"37",2002,"BOSTON BEVERLEY",38,NA,1,NA,NA,NA
"38",2002,"BOSTON BLEMHEIN",38,NA,1,NA,NA,NA
"39",2002,"COTE SAINT JACQUES",90,20.7846096908265,3,23.5195678144806,66.4804321855194,113.519567814481
"40",2002,"FRIO SUR IX",175645,1911.27881484598,186,274.672806444602,175370.327193555,175919.672806445
"41",2002,"FRIO SUR VII",15445,1309.21440032353,24,523.785225113811,14921.2147748862,15968.7852251138
"42",2002,"FRIO SUR VIII",64498,2279.68007229905,128,394.927166311625,64103.0728336884,64892.9271663116
"43",2002,"UNION SUR",6,NA,1,NA,NA,NA
"44",2002,"UNZEN MARU",532387,2589.24843764343,355,269.344205816511,532117.655794183,532656.344205817
"45",2003,"BETANZOS",233847,2064.49625170208,162,317.910361176609,233529.089638823,234164.910361177
"46",2003,"BOSTON BEVERLEY",26,NA,1,NA,NA,NA
"47",2003,"BOSTON BLEMHEIN",7816,1109.93024233829,8,769.128283809003,7046.871716191,8585.128283809
"48",2003,"FRIO SUR IX",8640,1901.25221893362,10,1178.38668045308,7461.61331954692,9818.38668045308
"49",2003,"FRIO SUR VII",35380,616.147460677206,97,122.615927287822,35257.3840727122,35502.6159272878
"50",2003,"FRIO SUR VIII",7890,316.6576433958,59,80.8001301963725,7809.19986980363,7970.80013019637
"51",2003,"SAINT PIERRE",69692,4880.66324513568,18,2254.70995226548,67437.2900477345,71946.7099522655
"52",2003,"UNZEN MARU",720188,2481.08269136616,557,206.044835025908,719981.955164974,720394.044835026
"53",2004,"BETANZOS",7599,1002.98012193662,17,476.777724051365,7122.22227594863,8075.77772405137
